date,open,high,low,close,volume
2005-12-08,2.7531,2.7892,2.7141,2.7455,38666400
2005-12-09,2.7539,2.7884,2.7156,2.7846,26289600
2005-12-12,2.7922,2.8313,2.7876,2.8252,28113600
2005-12-13,2.8305,2.8865,2.8098,2.8619,44341200
2005-12-14,2.8405,2.8543,2.8014,2.8351,28747200
2005-12-15,2.8328,2.8543,2.7700,2.7991,33272400
2005-12-16,2.8091,2.8359,2.7823,2.8236,106560000
2005-12-19,2.8374,2.8505,2.7700,2.7769,29229600
2005-12-20,2.7738,2.8160,2.7386,2.7754,30435600
2005-12-21,2.7692,2.8114,2.7447,2.7700,28938000
2005-12-22,2.7677,2.8574,2.7669,2.8543,31833600
2005-12-23,2.8616,2.8803,2.8428,2.8765,21453600
2005-12-27,2.8734,2.9255,2.8642,2.8941,36796800
2005-12-28,2.8941,2.9301,2.8757,2.9210,26442000
2005-12-29,2.9194,2.9286,2.8436,2.8558,31046400
2005-12-30,2.8401,2.8405,2.7899,2.8014,22960800
2006-01-03,2.8171,2.9501,2.8083,2.9286,47281200
2006-01-04,2.9508,3.0152,2.9202,3.0106,51007200
2006-01-05,3.0114,3.0842,3.0060,3.0788,64609200
2006-01-06,3.1140,3.1409,2.9922,3.1294,62338800
2006-01-09,3.1278,3.2336,3.1209,3.2167,56048400
2006-01-10,3.2014,3.2175,3.1608,3.2175,33966000
2006-01-11,3.2206,3.3523,3.2152,3.3340,62630400
2006-01-12,3.3332,3.3845,3.2627,3.2865,49550400
2006-01-13,3.2788,3.3056,3.2114,3.2573,42129600
2006-01-17,3.2022,3.2566,3.1700,3.2550,32923200
2006-01-18,3.1577,3.2826,3.1263,3.2719,45994800
2006-01-19,3.3156,3.4987,3.3094,3.4535,91476000
2006-01-20,3.4589,3.4987,3.3562,3.3570,46160400
2006-01-23,3.3834,3.4045,3.3370,3.3761,33488400
2006-01-24,3.3838,3.4635,3.3746,3.3930,38889600
2006-01-25,3.4098,3.4320,3.3225,3.3631,40023600
2006-01-26,3.4121,3.4811,3.3907,3.4780,44883600
2006-01-27,3.5248,3.5830,3.4941,3.5439,38504400
2006-01-30,3.5623,3.5631,3.4880,3.5041,31578000
2006-01-31,3.4872,3.5056,3.4182,3.4451,38445600
2006-02-01,3.3830,3.4612,3.3700,3.4474,45085200
2006-02-02,3.4780,3.4811,3.3370,3.3424,47373600
2006-02-03,3.3225,3.4144,3.3102,3.3730,50425200
2006-02-06,3.3700,3.4719,3.3493,3.4681,36346800
2006-02-07,3.4719,3.4750,3.3432,3.3447,39940800
2006-02-08,3.3608,3.4412,3.3447,3.4412,39307200
2006-02-09,3.4604,3.5056,3.3615,3.3830,43710000
2006-02-10,3.3876,3.4106,3.2849,3.3638,41499600
2006-02-13,3.3501,3.3991,3.3301,3.3753,28074000
2006-02-14,3.3753,3.3937,3.3370,3.3815,34234800
2006-02-15,3.3838,3.4558,3.3661,3.4466,49329600
2006-02-16,3.5117,3.6244,3.4872,3.6167,130588800
2006-02-17,3.8795,3.8864,3.6167,3.6374,235695600
2006-02-21,3.6251,3.6359,3.5286,3.5600,68406000
2006-02-22,3.5094,3.5822,3.4251,3.5539,93975600
2006-02-23,3.5393,3.5669,3.4895,3.4995,38512800
2006-02-24,3.5148,3.5569,3.4803,3.4987,41641200
2006-02-27,3.5248,3.6627,3.4887,3.6405,66646800
2006-02-28,3.6198,3.6550,3.5761,3.6113,56331600
2006-03-01,3.6113,3.7700,3.6014,3.7485,70393200
2006-03-02,3.7447,3.8068,3.7056,3.7539,54546000
2006-03-03,3.7255,3.8320,3.7125,3.7669,59580000
2006-03-06,3.8428,3.8657,3.7408,3.7592,52902000
2006-03-07,3.7776,3.7891,3.6205,3.6949,60620400
2006-03-08,3.6956,3.7148,3.5447,3.6765,67080000
2006-03-09,3.7247,3.7830,3.6933,3.6956,53670000
2006-03-10,3.6895,3.7385,3.5983,3.6313,52158000
2006-03-13,3.6811,3.6926,3.6405,3.6749,37213200
2006-03-14,3.6795,3.7922,3.6642,3.7769,62779200
2006-03-15,3.7769,3.8428,3.7700,3.8374,51060000
2006-03-16,3.8450,3.8489,3.6941,3.7071,56841600
2006-03-17,3.6926,3.7470,3.6343,3.7370,61858800
2006-03-20,3.7707,3.7707,3.7048,3.7087,29377200
2006-03-21,3.7899,3.9615,3.7899,3.8918,123547200
2006-03-22,3.7906,3.8113,3.6949,3.7799,115857600
2006-03-23,3.7991,3.8657,3.7500,3.8504,66199200
2006-03-24,3.8634,3.9876,3.8540,3.9807,68793600
2006-03-27,3.9845,4.0910,3.9707,4.0880,65144400
2006-03-28,4.0688,4.2052,4.0611,4.1508,79520400
2006-03-29,4.1607,4.3814,4.1339,4.3738,98709600
2006-03-30,4.3607,4.4274,4.2994,4.4036,106330800
2006-03-31,4.4098,4.4619,4.3607,4.3876,83556000
2006-04-03,4.4205,4.4979,4.3554,4.4366,96891600
2006-04-04,4.4512,4.6511,4.4381,4.6442,120061200
2006-04-05,4.6305,4.7048,4.5370,4.6818,111297600
2006-04-06,4.6695,4.7262,4.6052,4.6910,78931200
2006-04-07,4.6649,4.7124,4.5868,4.6787,34133598
2006-04-10,4.6741,4.6956,4.5623,4.5975,63422802
2006-04-11,4.5975,4.6128,4.4581,4.4856,70207200
2006-04-12,4.5239,4.6910,4.4902,4.6665,59830800
2006-04-13,4.5669,4.6190,4.5178,4.5362,73836000
2006-04-17,4.5163,4.6619,4.5117,4.5485,44386800
2006-04-18,4.4596,4.4688,4.3201,4.4412,116548800
2006-04-19,4.4305,4.5178,4.3523,4.4688,51747600
2006-04-20,4.4259,4.5423,4.3554,4.4626,55268400
2006-04-21,4.4948,4.4948,4.2496,4.3017,77001600
2006-04-24,4.3293,4.4764,4.2527,4.4335,67684800
2006-04-25,4.3983,4.4412,4.3063,4.4305,71976402
2006-04-26,4.4611,4.5148,4.3523,4.3998,33052800
2006-04-27,4.3676,4.5117,4.2879,4.4703,46296402
2006-04-28,4.4672,4.5347,4.4351,4.4780,28473600
2006-05-01,4.5209,4.8228,4.5086,4.7354,90247200
2006-05-02,4.7722,4.8274,4.6481,4.7293,53970000
2006-05-03,4.6956,4.8121,4.6711,4.7601,37811202
2006-05-04,4.6665,4.7814,4.6420,4.7293,51112800
2006-05-05,4.7538,4.8105,4.6879,4.7937,33818400
2006-05-08,4.7814,4.8856,4.7278,4.7722,50362002
2006-05-09,4.7661,4.7906,4.6205,4.6266,56164800
2006-05-10,4.5715,4.6251,4.4780,4.5239,75326400
2006-05-11,4.5699,4.6128,4.3278,4.3630,120110802
2006-05-12,4.2650,4.2803,3.9447,4.0351,156817200
2006-05-15,4.0267,4.1286,3.9922,4.0933,55338000
2006-05-16,4.1163,4.1178,3.9600,3.9860,49753200
2006-05-17,3.9722,3.9952,3.7546,3.8251,84107202
2006-05-18,3.8558,3.8926,3.6474,3.6520,68672802
2006-05-19,3.6857,3.8159,3.6489,3.7286,93280800
2006-05-22,3.7087,3.7163,3.5769,3.6780,73488402
2006-05-23,3.7546,3.8420,3.6228,3.6382,53231202
2006-05-24,3.6703,3.7945,3.5876,3.6857,57952002
2006-05-25,3.7546,3.8098,3.6458,3.6657,42366402
2006-05-26,3.6795,3.7041,3.6351,3.6734,29464002
2006-05-30,3.6795,3.6811,3.5186,3.5202,44878800
2006-05-31,3.5677,3.6014,3.5002,3.5217,59842002
2006-06-01,3.5615,3.7056,3.5064,3.7056,53712402
2006-06-02,3.7654,3.7837,3.6152,3.6520,67370802
2006-06-05,3.6320,3.6995,3.4880,3.4987,58105200
2006-06-06,3.5431,3.5462,3.3102,3.4052,82412802
2006-06-07,3.4420,3.4481,3.3179,3.3439,56538000
2006-06-08,3.3056,3.3485,3.1508,3.2826,73057200
2006-06-09,3.3255,3.3822,3.2443,3.3041,43382400
2006-06-12,3.2290,3.2581,3.0727,3.0911,46322802
2006-06-13,3.0895,3.1524,3.0144,3.0436,53254800
2006-06-14,3.0619,3.1416,3.0298,3.1324,48049200
2006-06-15,3.2474,3.4175,3.2213,3.4068,83733600
2006-06-16,3.3838,3.3930,3.2872,3.3194,50344800
